log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41304: Link has been severed,exact,ciod: Error reading message prefix <*> socket<*> <*> has<*> <*> been severed,0.9915,ciod: Error reading message prefix on CioStream socket to <*> Connection <*> peer,0.8942,ciod: failed to read message prefix on control stream (CioStream socket to <*>,0.8851,61.43,162
2,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41217: Link has been severed,exact,ciod: Error reading message prefix <*> socket<*> <*> has<*> <*> been severed,0.9901,ciod: Error reading message prefix on CioStream socket to <*> Connection <*> peer,0.8915,ciod: failed to read message prefix on control stream (CioStream socket to <*>,0.8843,50.65,162
3,total of 1 ddr error(s) detected and corrected,exact,total of <*> ddr error(s) detected and corrected,0.9908,total of <*> ddr error(s) detected and corrected over <*> seconds,0.9209,total of 23 ddr error(s) detected and corrected,0.9086,48.57,162
4,Lustre mount FAILED : bglio388 : point /p/gb1,partial,Lustre mount FAILED : bglio<*> : point /p/gb1,0.9899,Lustre mount FAILED : bglio<*> : block_id : location,0.8586,"NFS Mount failed on bglio<*> slept 15 seconds, retrying (1)",0.5734,48.49,162
5,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:37916: Link has been severed,exact,ciod: Error reading message prefix <*> socket<*> <*> has<*> <*> been severed,0.9919,ciod: Error reading message prefix on CioStream socket to <*> Connection <*> peer,0.8918,ciod: failed to read message prefix on control stream (CioStream socket to <*>,0.8848,49.48,162
6,"CE sym 25, at 0x1a544020, mask 0x40",partial,"CE sym 5, at 0x0e37bbe0, mask <*>",0.9714,CE sym <*> at <*> mask <*>,0.9439,"CE sym 16, at <*> mask <*>",0.9045,48.4,162
7,Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005,exact,Ido chip status changed: FF<*> ip<*> v=13 <*> status=M <*> PDT <*>,0.9958,New ido chip inserted into the database: FF<*> ip<*> <*>,0.822,Node card status: <*> ALERTs<*> <*> active.<*> <*> Mode<*> <*> Low.<*> <*> Select<*> <*> Temperature <*> MPGOOD<*> <*> is <*> The <*> volt rail is OK. The 1.5 volt rail is OK.,0.4266,52.12,162
8,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,exact,Node card status: <*> ALERTs<*> <*> active.<*> <*> Mode<*> <*> Low.<*> <*> Select<*> <*> Temperature <*> MPGOOD<*> <*> is <*> The <*> volt rail is OK. The 1.5 volt rail is OK.,0.997,Node card is not fully functional,0.6103,NodeCard is not fully functional,0.5729,54.19,162
9,"CE sym 9, at 0x123b6ca0, mask 0x20",partial,"CE sym 6, at <*> mask <*>",0.9549,CE sym <*> at <*> mask <*>,0.9057,"CE sym 16, at <*> mask <*>",0.8989,49.17,162
10,ciod: LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file or directory,exact,ciod: LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file or directory,1.0,ciod: LOGIN chdir(/p/bg1/da) failed: No such file or directory,0.7504,ciod: LOGIN chdir(pwd) failed: No such file or directory,0.7182,51.31,162
